Accession,ClosestGenotype,ClosestSubtype,ReferenceOverlapAA,FullyCover
PQ335084,1,1a,150-321,Yes
PQ335085,1,1a,150-321,Yes
PQ335086,1,1a,150-321,Yes
PQ335087,1,1a,150-321,Yes
PQ335088,1,1a,150-321,Yes
PQ335089,4,4a,150-275,
PQ335090,4,4a,307-321,
PQ335091,4,4a,150-321,Yes
PQ335092,4,4a,150-321,Yes
PQ335093,4,4a,150-321,Yes
PQ335094,4,4a,150-321,Yes
PQ335095,4,4c,,
PQ335096,4,4c,,
PQ335097,4,4a,150-321,Yes
PQ335098,4,4a,150-202,
PQ335099,4,4a,150-249,
PQ335100,4,4a,150-321,Yes
PQ335101,4,4a,150-249,
PQ335102,4,4a,150-264,
PQ335103,4,4c,,
PQ335104,4,4a,150-321,Yes
PQ335105,4,4c,,
PQ335106,4,4c,150-271,
PQ335107,4,4a,150-321,Yes
PQ335108,4,4a,150-321,Yes
PQ335109,4,4a,,
PQ335110,4,4l,,
PQ335111,4,4a,150-321,Yes
PQ335112,4,4a,150-321,Yes
PQ335113,4,4a,150-302,
PQ335114,4,4a,150-264,
PQ335115,4,4a,150-275,
PQ335116,4,4c,,
PQ335117,4,4a,150-249,
PQ335118,4,4a,150-321,Yes
PQ335119,4,4a,150-321,Yes
PQ335120,4,4a,150-321,Yes
PQ335121,4,4a,150-321,Yes
PQ335122,4,4a,,
PQ335123,4,4a,,
PQ335124,4,4a,,
PQ335125,4,4c,,
PQ335126,4,4a,150-321,Yes
PQ335127,4,4a,150-321,Yes
PQ335128,4,4a,150-321,Yes
PQ335129,4,4a,150-321,Yes
PQ335130,4,4a,150-264,
PQ335131,4,4a,242-321,
PQ335132,4,4a,150-321,Yes
PQ335133,4,4a,150-321,Yes
PQ335134,4,4a,150-275,
PQ335135,4,4a,,
PQ335136,4,4a,150-321,Yes
PQ335137,4,4c,,
PQ335138,4,4a,150-321,Yes
PQ335139,4,4c,,
PQ335140,4,4a,150-321,Yes
PQ335141,4,4a,150-277,
PQ335142,4,4a,150-264,
PQ335143,4,4a,,
PQ335144,4,4a,150-321,Yes
PQ335145,4,4a,150-321,Yes
PQ335146,4,4a,150-321,Yes
PQ335147,4,4a,150-321,Yes
PQ335148,4,4a,,
PQ335149,4,4a,241-321,
PQ335150,4,4a,,
PQ335151,4,4a,150-321,Yes
PQ335152,4,4a,150-321,Yes
PQ335153,4,4a,150-321,Yes
PQ335154,4,4a,150-321,Yes
PQ335155,4,4c,,
PQ335156,4,4a,242-321,
PQ335157,4,4a,150-321,Yes
PQ335158,4,4a,,
ON055295,3,3a,233-321,
ON055296,1,1a,233-321,
ON055297,1,1a,233-321,
ON055298,4,4d,233-321,
ON055299,1,1a,233-321,
ON055300,1,1a,233-321,
ON055301,3,3a,233-321,
ON055302,1,1a,233-321,
ON055303,1,1a,233-321,
ON055304,4,4d,233-321,
ON055305,1,1a,233-321,
ON055306,1,1a,233-321,
ON055307,1,1a,233-321,
ON055308,1,1a,233-321,
ON055309,1,1a,233-321,
ON055310,1,1a,233-321,
ON055311,4,4d,233-321,
ON055312,3,3a,233-321,
ON506742,,,,
ON506743,,,,
ON506744,,,,
ON506745,,,,
ON506746,,,,
ON506747,,,,
ON506748,,,,
ON506749,,,,
ON506750,,,,
ON506751,,,,
ON506752,,,,
ON506753,,,,
ON506754,,,,
ON506755,,,,
ON506756,,,,
ON506757,,,,
ON506758,,,,
ON506759,,,,
ON506760,,,,
ON506761,,,,
ON506762,,,,
ON506763,,,,
ON506764,,,,
ON506765,,,,
ON506766,,,,
ON506767,,,,
ON506768,,,,
ON506769,,,,
ON506770,,,,
ON506771,,,,
ON506772,,,,
ON506773,,,,
ON506774,,,,
ON506775,,,,
ON506776,,,,
ON506777,,,,
ON506778,,,,
ON506779,,,,
ON506780,,,,
ON506781,,,,
ON506782,,,,
ON506783,,,,
ON506784,,,,
ON506785,,,,
ON506786,,,,
ON506787,,,,
ON506788,,,,
ON506789,,,,
ON506790,,,,
ON506791,,,,
ON506792,,,,
ON506793,,,,
ON506794,,,,
ON506795,,,,
ON506796,,,,
ON506797,,,,
ON506798,,,,
ON506799,,,,
ON506800,,,,
ON506801,,,,
ON506802,,,,
ON506803,,,,
ON506804,,,,
ON506805,,,,
ON506806,,,,
ON506807,,,,
ON506808,,,,
ON506809,,,,
ON506810,,,,
ON506811,,,,
ON506812,,,,
ON506813,,,,
ON506814,,,,
ON506815,,,,
ON506816,,,,
ON506817,,,,
ON506818,,,,
ON506819,,,,
ON506820,,,,
ON506821,,,,
ON506822,,,,
ON506823,,,,
ON506824,,,,
ON506825,,,,
ON540737,2,2b,150-221,
ON540738,2,2a,150-226,
ON540739,1,1b,150-225,
ON540740,1,1a,150-225,
ON540743,2,2b,150-225,
ON540744,2,2t,150-224,
ON540745,2,2b,150-225,
ON540746,1,1a,150-209,
ON314812,2,2k,150-321,Yes
ON314813,2,2q,150-321,Yes
ON314814,2,2q,150-321,Yes
ON314815,2,2q,150-321,Yes
ON314816,2,2d,150-321,Yes
ON314817,2,2q,150-321,Yes
ON314818,2,2k,150-321,Yes
ON314819,2,2q,150-321,Yes
ON314820,2,2q,150-321,Yes
ON314821,2,2d,150-321,Yes
ON314822,2,2k,150-321,Yes
ON314823,2,2k,150-321,Yes
ON314824,2,2q,150-321,Yes
ON314825,2,2q,150-321,Yes
ON314826,2,2r,150-321,Yes
ON314827,2,2q,150-321,Yes
ON314828,2,2q,150-321,Yes
ON123710,1,1b,238-321,
ON123711,1,1b,229-321,
ON123712,1,1b,230-321,
ON123713,4,4d,225-321,
ON123714,1,1b,229-321,
ON123716,1,1a,236-321,
ON123717,1,1b,229-321,
ON123718,1,1a,230-321,
ON123719,2,2a,230-321,
ON123720,4,4a,232-321,
ON123721,1,1b,230-321,
ON123722,1,1b,230-321,
ON123723,1,1b,229-321,
ON123724,1,1b,230-321,
ON123725,1,1b,230-321,
ON123726,1,1b,230-321,
ON123727,1,1a,229-321,
ON123728,1,1b,225-321,
ON123729,1,1a,227-321,
ON123730,,,,
ON123731,,,,
ON123732,,,,
ON123733,,,,
ON123734,,,,
ON123735,,,,
ON123736,,,,
ON125365,6,6xa,219-318,
ON125366,6,6xa,219-318,
ON125367,6,6xa,219-318,
ON125368,6,6xa,219-318,
ON125369,6,6n,219-318,
PQ365497,1,1a,150-321,Yes
PQ365498,3,3a,150-321,Yes
PQ365499,1,1a,150-321,Yes
PQ365500,1,1a,150-321,Yes
PQ365501,3,3a,150-321,Yes
PQ365502,3,3a,150-321,Yes
PQ365503,1,1a,150-321,Yes
PQ365504,3,3i,150-321,Yes
PQ365505,3,3b,150-321,Yes
PQ365506,3,3a,150-321,Yes
PQ365507,1,1a,150-321,Yes
PQ365508,3,3a,150-321,Yes
PQ365509,3,3a,150-321,Yes
PQ365510,1,1b,150-321,Yes
PQ365511,3,3a,150-321,Yes
PQ365512,3,3a,150-321,Yes
PQ365513,3,3d,150-321,Yes
PQ365514,3,3a,150-321,Yes
PQ365515,3,3a,150-321,Yes
PQ365516,1,1a,150-321,Yes
PQ365517,3,3a,150-321,Yes
PQ365518,3,3a,150-321,Yes
PQ365519,3,3a,150-321,Yes
PQ365520,3,3a,150-321,Yes
PQ365521,3,3a,150-321,Yes
PQ365522,3,3a,150-321,Yes
PQ365523,3,3a,150-321,Yes
PQ365524,3,3e,150-321,Yes
PQ365525,3,3a,150-321,Yes
PQ365526,3,3a,150-321,Yes
PQ365527,1,1a,150-321,Yes
PQ365528,3,3a,150-321,Yes
PQ365529,3,3a,150-321,Yes
PQ365530,3,3a,150-321,Yes
PQ365531,3,3a,150-321,Yes
PQ365532,3,3a,150-321,Yes
PQ365533,1,1a,150-321,Yes
PQ365534,3,3a,150-321,Yes
PQ365535,3,3a,150-321,Yes
PQ365536,3,3a,150-321,Yes
PQ365537,3,3a,150-321,Yes
PQ365538,3,3a,150-321,Yes
PQ365539,3,3g,150-321,Yes
PQ365540,3,3a,150-321,Yes
PQ419893,,,,
PQ419894,,,,
PQ419895,,,,
PQ419896,,,,
PQ419897,1,1e,150-321,Yes
PQ419898,1,1g,150-321,Yes
PQ424136,3,3a,226-321,
PQ424137,3,3a,226-321,
PQ424138,3,3a,226-321,
PQ424139,3,3a,226-321,
PQ424140,3,3a,226-321,
PQ424141,3,3a,226-321,
PQ424142,3,3a,226-321,
PQ424143,3,3a,226-321,
PQ424144,3,3a,226-321,
PQ424145,3,3a,226-321,
PQ424146,3,3a,226-321,
PQ424147,1,1a,226-321,
PQ424148,1,1a,226-321,
PQ424149,1,1a,226-321,
PQ424150,1,1a,226-321,
PQ424151,1,1a,226-321,
PQ442791,4,4b,232-321,
PQ442792,4,4b,232-321,
PQ442793,4,4k,228-321,
PQ442794,4,4k,226-321,
PQ442795,4,4k,226-321,
PQ442796,4,4k,226-321,
PQ442797,4,4k,226-321,
PQ442798,4,4k,226-321,
PQ442799,4,4k,226-321,
PQ442800,4,4k,228-321,
PQ442801,4,4k,226-321,
PQ442802,4,4s,227-321,
PQ442803,4,4q,230-321,
PQ442804,4,4r,226-321,
PQ442805,4,4r,226-321,
PQ442806,4,4r,236-321,
PQ442807,4,4r,228-321,
PQ442808,4,4v,229-321,
PQ442809,4,4v,230-321,
PQ442810,4,4v,226-321,
PQ442811,4,4v,231-321,
PQ442812,4,4k,226-321,
PQ442813,4,4k,226-321,
PQ442814,4,4b,235-321,
PQ442815,4,4v,230-321,
PQ442816,4,4b,235-321,
PQ442817,4,4b,236-321,
PQ442818,4,4k,224-321,
PQ442819,4,4k,228-321,
PQ442820,4,4k,230-321,
PQ442821,4,4b,236-321,
PQ442822,4,4k,226-321,
PQ442823,4,4b,236-321,
PQ442824,4,4k,226-321,
PQ442825,4,4k,226-321,
PQ442826,4,4k,226-321,
PQ442827,4,4k,226-321,
PQ442828,4,4k,228-321,
PQ442829,4,4k,226-321,
PQ442830,4,4s,232-321,
PQ442831,4,4k,226-321,
PQ442832,4,4k,228-321,
PQ442833,4,4k,228-321,
PQ442834,4,4k,226-321,
PQ442835,4,4k,228-321,
PQ442836,4,4k,226-321,
PQ442837,4,4k,226-321,
PQ442838,4,4k,226-321,
PQ442839,4,4k,228-321,
PQ442840,4,4k,226-321,
PQ442841,4,4k,228-321,
PQ442842,4,4k,224-321,
PQ442843,4,4s,232-321,
PQ442844,4,4k,228-321,
PQ442845,4,4s,231-321,
PQ442846,4,4q,227-321,
PQ442847,4,4q,231-321,
PQ442848,4,4r,229-321,
PQ442849,4,4r,232-321,
PQ442850,4,4r,231-321,
PQ442851,4,4r,229-321,
PQ442852,4,4r,232-321,
PQ442853,4,4v,226-321,
PQ442854,4,4v,231-321,
PQ442855,4,4v,226-321,
PQ442856,4,4k,226-321,
PQ442857,4,4k,230-321,
PQ442858,4,4k,226-321,
PQ442859,4,4k,226-321,
PQ442860,4,4k,226-321,
PQ442861,4,4k,226-321,
PQ442862,4,4k,230-321,
PQ442863,4,4k,226-321,
PQ442864,4,4k,226-321,
PQ442865,4,4k,226-321,
PQ442866,4,4k,228-321,
PQ442867,4,4k,228-321,
PQ442868,4,4k,226-321,
PQ442869,4,4k,228-321,
PQ442870,4,4q,227-321,
PQ442871,4,4q,226-321,
PQ442872,4,4q,231-321,
PQ442873,4,4q,227-321,
PQ442874,4,4q,229-321,
PQ442875,4,4q,229-321,
PQ442876,4,4q,227-321,
PQ442877,4,4v,238-321,
PQ442878,4,4v,232-321,
PQ442879,4,4v,239-321,
PQ442880,4,4v,230-321,
PQ442881,4,4k,226-321,
PQ442882,4,4k,226-321,
PQ442883,4,4k,226-321,
PQ442884,4,4k,226-321,
PQ442885,4,4k,226-321,
PQ442886,4,4k,226-321,
PQ442887,4,4k,226-321,
PQ442888,4,4q,226-321,
PQ442889,4,4q,228-321,
PQ442890,4,4q,226-321,
PQ442891,4,4q,226-321,
PQ442892,4,4r,229-321,
PQ442893,4,4r,229-321,
PQ442894,4,4r,228-321,
PQ442895,4,4r,228-321,
PQ442896,4,4r,229-321,
PQ442897,4,4r,226-321,
PQ442898,4,4r,229-321,
PQ442899,4,4r,229-321,
PQ442900,4,4r,229-321,
PQ442901,4,4r,226-321,
PQ442902,4,4r,226-321,
PQ442903,4,4r,226-321,
PQ442904,4,4r,229-321,
PQ442905,4,4r,228-321,
PQ442906,4,4k,241-321,
PQ442907,4,4k,241-321,
PQ442908,4,4k,230-321,
PQ442909,4,4k,228-321,
PQ442910,4,4k,230-321,
PQ442911,4,4k,230-321,
PQ442912,4,4k,226-321,
PQ442913,4,4k,228-321,
PQ442914,4,4k,226-321,
PQ442915,4,4k,228-321,
PQ442916,4,4r,229-321,
PQ442917,4,4r,243-321,
PQ442918,4,4r,247-321,
PQ442919,4,4r,228-321,
PQ442920,4,4r,232-321,
PQ442921,4,4r,226-321,
PQ442922,4,4r,230-321,
PQ442923,4,4r,226-321,
PQ442924,4,4r,232-319,
PQ442925,4,4r,247-321,
PQ442926,4,4r,226-321,
PQ442927,4,4r,226-321,
PQ442928,4,4r,228-321,
PQ442929,4,4r,229-321,
PQ442930,4,4r,226-321,
PQ442931,4,4r,232-321,
PQ442932,4,4v,227-321,
PQ442933,4,4v,229-321,
MT633132,,,,
MT633133,,,,
MT633134,7,7b,,
MT863870,,,,
MT863871,,,,
MT863872,,,,
MT863873,,,,
MT863874,,,,
MT863875,,,,
MT863876,,,,
MT863877,,,,
MT863878,,,,
MT863879,,,,
MT863880,,,,
MT863881,,,,
MT863882,,,,
MT863883,,,,
MT863884,,,,
MT863885,,,,
MT863886,,,,
MT863887,,,,
MT863888,,,,
MT863889,,,,
MT863890,,,,
MT863891,,,,
MT863892,,,,
MT863893,,,,
MT863894,,,,
MT863895,,,,
MT863896,,,,
MT863897,,,,
MT863898,,,,
MT863899,,,,
MT863900,,,,
MT863901,,,,
MT863902,,,,
MT863903,,,,
MT863904,,,,
MT863905,,,,
MT863906,,,,
MT863907,,,,
MT863908,,,,
MT863909,,,,
MT863910,,,,
MT863911,,,,
MT863912,,,,
MT863913,,,,
MT863914,,,,
MT863915,,,,
MT863916,,,,
MT863917,,,,
MT863918,,,,
MT863919,,,,
MT863920,,,,
MT863921,,,,
MT863922,,,,
MT863923,,,,
MT863924,,,,
MT863925,,,,
MT863926,,,,
MT863927,,,,
MT863928,,,,
MT863929,,,,
MT863930,,,,
MT863931,,,,
MT863932,,,,
MT863933,,,,
MT863934,,,,
MT863935,,,,
MT863936,,,,
MT863937,,,,
MT863938,,,,
MT863939,,,,
MT863940,,,,
MT863941,,,,
MT863942,,,,
MT863943,,,,
MT863944,,,,
MT863945,,,,
MT863946,,,,
MT863947,,,,
MT863948,,,,
MT863949,,,,
MT863950,,,,
MT863951,,,,
MT863952,,,,
MT863953,,,,
MT863954,,,,
MT863955,,,,
MT863956,,,,
MT863957,,,,
MT863958,,,,
MT863959,,,,
MT863960,,,,
MT863961,,,,
MT863962,,,,
MT863963,,,,
MT863964,,,,
MT863965,,,,
MT863966,,,,
MT863967,,,,
MT863968,,,,
MT863969,,,,
MT863970,,,,
MT863971,,,,
MT863972,,,,
MT863973,,,,
MT863974,,,,
MT863975,,,,
MT863976,,,,
MT863977,,,,
MT863978,,,,
MT863979,,,,
MT863980,,,,
MT863981,,,,
MT863982,,,,
MT863983,,,,
MT863984,,,,
MT863985,,,,
MT863986,,,,
MT863987,,,,
MT863988,,,,
MT863989,,,,
MT863990,,,,
MT863991,,,,
MT863992,,,,
MT863993,,,,
MT863994,,,,
MT863995,,,,
MT863996,,,,
MT863997,,,,
MT863998,,,,
MT863999,,,,
MT864000,,,,
MT864001,,,,
MT864002,,,,
MT864003,,,,
MT864004,,,,
MT864005,,,,
MT893899,,,,
MT893900,,,,
MT893901,,,,
MT893902,,,,
MT893903,,,,
MT893904,,,,
MT893905,,,,
MT893906,,,,
MT893907,,,,
MT893908,,,,
MT893909,,,,
MT893910,,,,
MT893911,,,,
MT893912,,,,
MT893913,,,,
MT893914,,,,
MT893915,4,4r,227-321,
MT893916,4,4c,227-321,
MT893917,4,4c,227-321,
MT893918,4,4k,227-321,
MT893919,4,4r,227-321,
MT893920,4,4r,227-321,
MT893921,4,4k,227-321,
MT893922,4,4c,227-321,
MT893923,4,4r,227-321,
MT893924,4,4r,227-321,
MT897489,2,2v,234-321,
MT897490,2,2v,234-321,
MT897491,2,2v,234-321,
MT897492,2,2k,234-321,
MT897493,2,2c,235-321,
MT897494,2,2c,235-321,
MT897495,2,2c,234-321,
MT897496,2,2c,235-321,
MT897497,2,2c,235-321,
MT897498,2,2c,235-321,
MT897499,2,2c,235-321,
MT897500,2,2c,235-321,
MT897501,2,2c,235-321,
MT897502,2,2c,235-321,
MT897503,2,2c,235-321,
MT897504,2,2v,234-321,
MT897505,2,2c,235-321,
MT897506,2,2c,235-321,
MT897507,2,2c,235-321,
MT897508,2,2c,235-321,
MT897509,2,2c,235-321,
MT897510,2,2c,235-321,
MT897511,2,2c,235-321,
MT897512,2,2c,235-321,
MT897513,2,2c,235-321,
MT897514,2,2c,235-321,
MT897515,2,2c,235-321,
MT897516,2,2c,235-321,
MT897517,2,2c,235-321,
MT897518,2,2v,234-321,
MT897519,2,2v,234-321,
MT897520,2,2c,235-321,
MT897521,2,2c,235-321,
MT897522,3,3a,234-321,
MT897523,3,3a,234-321,
MT897524,3,3a,234-321,
MT897525,3,3a,234-321,
MT897526,3,3a,234-321,
MT897527,3,3a,234-321,
MT897528,3,3a,234-321,
MT897529,3,3a,234-321,
MT897530,3,3a,234-321,
MT897531,3,3a,234-321,
MT897532,3,3a,234-321,
MT897533,3,3a,234-321,
MT897534,3,3a,234-321,
MT897535,3,3a,234-321,
MT897536,3,3a,234-321,
MT897537,3,3a,234-321,
MT897538,3,3a,234-321,
MT897539,3,3a,234-321,
MT897540,3,3a,234-321,
MT897541,3,3a,234-321,
MT897542,3,3a,234-321,
MT897543,3,3a,234-321,
MT897544,3,3a,234-321,
MT897545,3,3a,234-321,
MT897546,4,4a,235-321,
MT897547,4,4d,234-321,
MT897548,4,4a,235-321,
MT897549,4,4d,234-321,
MT897550,4,4m,234-321,
MT897551,4,4a,235-321,
MT897552,4,4a,235-321,
MT897553,4,4d,234-321,
MT897554,4,4r,234-321,
MT897555,4,4d,234-321,
MT897556,4,4a,235-321,
MT897557,4,4d,234-321,
MT897558,1,1b,236-321,
MT897559,1,1b,236-321,
MT897560,1,1b,236-321,
MT897561,1,1b,236-321,
MT897562,1,1b,236-321,
MT897563,1,1b,236-321,
MT897564,1,1b,236-321,
MT897565,1,1b,236-321,
MT897566,1,1b,236-321,
MT897567,1,1b,236-321,
MT897568,1,1b,236-321,
MT897569,1,1b,236-321,
MT897570,1,1b,236-321,
MT897571,1,1b,236-321,
MT897572,1,1b,236-321,
MT897573,1,1b,236-321,
MT897574,1,1b,236-321,
MT897575,1,1b,236-321,
MT897576,1,1b,236-321,
MT897577,1,1b,234-321,
MT897578,1,1b,235-321,
MT897579,1,1b,234-321,
MT897580,1,1b,236-321,
MT897581,1,1b,236-321,
MT897582,1,1b,236-321,
MT897583,1,1b,236-321,
MT897584,1,1b,236-321,
MT897585,1,1b,236-321,
MT897586,1,1b,236-321,
MT897587,1,1b,236-321,
MT897588,1,1b,236-321,
MT897589,1,1b,236-321,
MT897590,1,1b,236-321,
MT897591,1,1b,236-321,
MT897592,1,1a,234-321,
MT897593,1,1d,236-321,
MT897594,1,1b,236-321,
MT897595,1,1b,236-321,
MT897596,1,1b,236-321,
MT897597,1,1b,236-321,
MT897598,1,1b,236-321,
MT897599,1,1b,236-321,
MT897600,1,1b,236-321,
MT897601,1,1b,236-321,
MT897602,1,1b,236-321,
MT897603,1,1b,236-321,
MT897604,1,1b,236-321,
MT897605,1,1b,236-321,
MT897606,1,1b,236-321,
MT897607,1,1b,236-321,
MT897608,1,1b,236-321,
MT897609,1,1d,236-321,
MT897610,1,1b,236-321,
MT897611,1,1b,236-321,
MT897612,1,1b,236-321,
MT897613,1,1b,236-321,
MT897614,1,1b,236-321,
MT897615,1,1b,236-321,
MT897616,1,1a,234-321,
MT897617,1,1b,236-321,
MT897618,1,1b,236-321,
MT897619,1,1b,236-321,
MT897620,1,1d,236-321,
MT897621,1,1d,236-321,
MT897622,1,1b,236-321,
MT897623,1,1b,236-321,
MT897624,1,1b,236-321,
MT897625,1,1b,236-321,
MT897626,1,1b,236-321,
MT897627,1,1b,236-321,
MT897628,1,1a,234-321,
MT897629,1,1b,236-321,
MT897630,1,1b,236-321,
MT897631,1,1b,236-321,
MT897632,1,1b,236-321,
MT897633,1,1b,236-321,
MT897634,1,1b,236-321,
MT897635,1,1b,236-321,
MT897636,1,1b,236-321,
MT897637,1,1b,236-321,
MT897638,1,1b,236-321,
MT897639,1,1b,236-321,
MT897640,1,1b,236-321,
MT897641,1,1b,236-321,
MT897642,1,1b,236-321,
MT897643,1,1b,236-321,
MT897644,1,1b,236-321,
MT897645,1,1b,236-321,
MT897646,1,1b,236-321,
MT897647,1,1b,236-321,
MT897648,1,1b,236-321,
MT897649,1,1b,236-321,
MT897650,1,1b,236-321,
MT897651,1,1b,236-321,
MT897652,1,1d,236-321,
MT897653,1,1b,236-321,
MT897654,1,1b,236-321,
MT897655,1,1d,236-321,
MT897656,1,1b,236-321,
MT897657,1,1a,234-321,
MT897658,1,1b,236-321,
MT897659,1,1b,236-321,
MT897660,1,1b,236-321,
MT897661,1,1b,236-321,
MT897662,1,1b,236-321,
MT897663,1,1b,236-321,
MT897664,1,1b,236-321,
MT897665,1,1b,236-321,
MT897666,1,1b,236-321,
MT897667,1,1d,236-321,
MT897668,1,1b,236-321,
MT897669,1,1d,236-321,
MT897670,1,1b,236-321,
MT897671,1,1b,236-321,
MT897672,1,1b,236-321,
MT897673,1,1a,234-321,
MT897674,1,1b,236-321,
MT897675,1,1b,236-321,
MT897676,1,1b,236-321,
MT897677,1,1b,236-321,
MT897678,1,1b,236-321,
MT897679,1,1d,236-321,
MT897680,1,1b,236-321,
MT897681,1,1b,236-321,
MT897682,1,1b,236-321,
MT897683,1,1b,236-321,
MT897684,1,1b,236-321,
MT897685,1,1b,234-321,
MT897686,1,1b,236-321,
MT897687,1,1b,236-321,
MT897688,1,1a,234-321,
MT897689,1,1a,234-321,
MT897690,1,1b,236-321,
MT897691,1,1b,236-321,
MT897692,1,1b,236-321,
MT897693,1,1b,236-321,
MT897694,1,1b,236-321,
MT897695,1,1b,236-321,
MT897696,1,1b,236-321,
MT897697,1,1b,236-321,
MT897698,1,1b,236-321,
MT897699,1,1b,235-321,
MT897700,1,1b,236-321,
MT897701,1,1b,236-321,
MT897702,1,1b,236-321,
MT897703,1,1b,236-321,
MT897704,1,1b,235-321,
MT897705,1,1d,236-321,
MT897706,1,1b,236-321,
MT897707,1,1b,236-321,
MT897708,1,1b,235-321,
MT897709,1,1b,236-321,
MT897710,1,1b,236-321,
MT897711,1,1b,236-321,
MT897712,1,1b,236-321,
MT897713,1,1b,236-321,
MT897714,1,1b,236-321,
MT897715,1,1b,236-321,
MT897716,1,1b,236-321,
MT897717,1,1b,236-321,
MT897718,1,1b,236-321,
MT897719,1,1b,236-321,
MT897720,1,1b,236-321,
MT897721,1,1d,236-321,
MT897722,1,1b,236-321,
MT897723,1,1b,236-321,
MT897724,1,1b,236-321,
MT897725,1,1b,236-321,
MT897726,1,1b,236-321,
MT897727,1,1b,236-321,
MT897728,1,1b,236-321,
MT897729,1,1b,236-321,
MT897730,1,1b,236-321,
MT897731,1,1b,236-321,
MT897732,1,1b,236-321,
MT897733,1,1b,236-321,
MT897734,1,1b,236-321,
MT897735,1,1a,234-321,
MT897736,1,1b,236-321,
MT897737,1,1b,236-321,
MT897738,1,1b,236-321,
MT897739,1,1b,236-321,
MT897740,1,1b,236-321,
MT897741,1,1b,236-321,
MT897742,1,1b,236-321,
MT897743,1,1b,236-321,
MT897744,1,1a,234-321,
MT897745,1,1b,236-321,
MT897746,1,1b,236-321,
MT897747,1,1b,236-321,
MT897748,1,1b,236-321,
MT897749,1,1b,236-321,
MT897750,1,1b,236-321,
MT897751,1,1b,236-321,
MT897752,1,1b,236-321,
MT897753,1,1b,236-321,
MT897754,1,1a,234-321,
MT897755,1,1b,236-321,
MT897756,1,1b,236-321,
MT897757,1,1b,236-321,
MT897758,1,1a,234-321,
MT897759,1,1a,234-321,
MT897760,1,1b,236-321,
MT897761,1,1b,236-321,
MT897762,1,1b,236-321,
MT897763,1,1b,236-321,
MT897764,1,1b,236-321,
MT897765,1,1b,236-321,
MT897766,1,1a,234-321,
MT897767,1,1b,236-321,
MT897768,1,1b,236-321,
MT897769,1,1b,235-321,
MT897770,1,1b,236-321,
MT897771,1,1b,236-321,
MT897772,1,1b,236-321,
MT897773,1,1b,236-321,
MT897774,1,1b,236-321,
MT897775,1,1b,236-321,
MT897776,1,1a,234-321,
MT897777,1,1b,236-321,
MT897778,1,1a,234-321,
MT897779,1,1d,236-321,
MT897780,1,1a,234-321,
MT897781,1,1b,236-321,
MT897782,1,1b,236-321,
MT897783,1,1b,236-321,
MT897784,1,1b,236-321,
MT897785,1,1b,236-321,
MT897786,1,1b,236-321,
MT897787,1,1b,236-321,
MT897788,1,1b,236-321,
MT897789,1,1b,236-321,
MT897790,1,1b,236-321,
MT897791,1,1b,236-321,
MT897792,1,1b,236-321,
MT897793,1,1d,236-321,
MT897794,1,1b,236-321,
MT897795,1,1b,236-321,
MT897796,1,1b,236-321,
MT897797,1,1b,236-321,
MT897798,1,1b,236-321,
MT897799,1,1d,236-321,
MT897800,1,1b,236-321,
MT897801,1,1b,236-321,
MT897802,1,1a,234-321,
MT897803,1,1b,236-321,
MT897804,1,1b,236-321,
MT897805,1,1b,236-321,
MT897806,1,1b,236-321,
MT897807,1,1b,236-321,
MT897808,1,1b,236-321,
MT897809,1,1b,236-321,
MT897810,1,1b,236-321,
MT897811,1,1b,236-321,
MT897812,1,1a,234-321,
MT897813,1,1b,236-321,
MT897814,1,1b,236-321,
MT897815,1,1b,236-321,
MT897816,1,1b,236-321,
MT897817,1,1b,236-321,
MT897818,1,1b,236-321,
MT897819,1,1b,236-321,
MT897820,1,1b,236-321,
MT897821,1,1b,236-321,
MT897822,1,1b,236-321,
MT897823,1,1b,236-321,
MT897824,1,1b,236-321,
MT897825,1,1b,236-321,
MT897826,1,1d,236-321,
MT897827,1,1d,236-321,
MT897828,1,1d,236-321,
MT897829,1,1b,236-321,
MT897830,1,1b,236-321,
MT897831,1,1b,236-321,
MT897832,1,1d,234-321,
MT897833,1,1b,236-321,
MT897834,1,1b,236-321,
MT897835,1,1b,236-321,
MT897836,1,1b,236-321,
MT897837,1,1b,236-321,
MT897838,1,1b,236-321,
MT897839,1,1b,236-321,
MT897840,1,1b,236-321,
MT897841,1,1b,236-321,
MT916285,2,2b,224-321,
MT995311,2,2b,150-321,Yes
MT995312,2,2b,150-321,Yes
MT995313,2,2b,150-321,Yes
MT995314,2,2b,150-321,Yes
MT995315,2,2b,150-321,Yes
MT995316,3,3a,150-321,Yes
MT995317,3,3a,150-321,Yes
MT995318,3,3a,150-321,Yes
MT995319,3,3a,150-321,Yes
MT995320,3,3a,150-321,Yes
MT995321,3,3a,150-321,Yes
MT995322,3,3a,150-321,Yes
MT995323,3,3a,150-321,Yes
MT995324,3,3a,150-321,Yes
MT995325,3,3a,150-321,Yes
MT995326,3,3a,150-321,Yes
MT995327,3,3a,150-321,Yes
MT995328,3,3a,150-321,Yes
MT995329,3,3a,150-321,Yes
MT995330,3,3a,150-321,Yes
MT995331,3,3a,150-321,Yes
MT995332,3,3a,150-321,Yes
MT995333,3,3a,150-321,Yes
MT995334,3,3a,150-321,Yes
MT995335,3,3a,150-321,Yes
MT995336,2,2b,150-321,Yes
MT995337,2,2b,150-321,Yes
MT995338,2,2b,150-321,Yes
