Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredNS3RASPositions
ON630801,1,92.499,1a,93.080,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630802,1,91.495,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630803,1,92.340,1a,92.604,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630804,1,94.770,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630805,1,91.970,1a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630806,1,93.502,1a,93.978,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630807,1,92.023,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630808,1,93.661,1a,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630809,1,93.344,1a,93.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630810,1,94.665,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630811,1,91.918,1a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630812,1,91.759,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630813,1,92.604,1a,92.868,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630814,1,92.287,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630815,1,92.921,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630816,1,95.668,1a,95.351,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630817,1,91.442,1a,91.865,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630818,1,92.446,1a,92.657,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630819,1,92.076,1a,92.446,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630820,1,94.770,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630821,1,91.759,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630822,1,95.087,1a,94.770,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630823,1,92.552,1a,92.552,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630824,1,92.868,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630825,1,94.453,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630826,1,93.819,1a,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630827,1,91.865,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630828,1,92.023,1a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630829,1,91.337,1a,91.865,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630830,1,95.404,1a,95.087,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630831,1,91.601,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630832,1,95.404,1a,95.087,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630833,1,93.767,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630834,1,94.717,1a,94.717,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630835,1,93.502,1a,93.344,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630836,1,93.291,1a,93.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630837,1,94.717,1a,94.717,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630838,1,94.506,1a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630839,1,93.714,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630840,1,93.291,1a,93.291,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630841,1,94.612,1a,94.506,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630842,1,94.136,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630843,1,94.612,1a,94.506,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630844,1,94.031,1a,94.031,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630845,1,94.295,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630846,1,94.242,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630847,1,94.189,1a,94.612,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630848,1,94.189,1a,94.612,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630849,1,94.876,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630850,1,91.231,1a,91.495,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630851,1,93.925,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630852,1,95.087,1a,94.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630853,1,94.242,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630854,1,93.555,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630855,1,91.337,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630856,1,91.601,1a,91.548,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630857,1,91.706,1a,91.442,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630858,1,92.023,1a,92.023,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630859,1,91.548,1a,92.182,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630860,1,93.661,1a,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630861,1,94.400,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630862,1,91.178,1a,91.442,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630863,1,93.344,1a,93.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630864,1,94.400,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630865,1,92.340,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630866,1,91.548,1a,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630867,1,94.400,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630868,1,95.140,1a,95.668,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630869,1,92.393,1a,93.080,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630870,4,81.035,4d,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630871,4,81.194,4d,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630872,4,80.507,4d,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630873,4,81.088,4d,93.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630874,4,80.718,4d,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630875,4,80.824,4d,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630876,4,80.940,4d,93.502,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630877,4,81.194,4d,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630878,4,81.141,4d,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630879,4,81.352,4d,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630880,4,81.141,4d,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630881,4,80.824,4d,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630882,4,80.930,4d,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630883,4,81.035,4d,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630884,4,80.613,4d,93.767,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630885,4,81.300,4d,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630886,4,80.930,4d,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630887,4,80.983,4d,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630888,4,80.930,4d,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630889,4,81.141,4d,93.767,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630890,4,80.877,4d,93.767,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630891,4,81.141,4d,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630892,4,81.204,4d,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630893,4,80.983,4d,93.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630894,4,81.300,4d,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630895,4,80.359,4d,94.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630896,4,80.781,4d,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630897,4,81.194,4d,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630898,4,81.300,4d,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630899,4,81.088,4d,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630900,4,80.666,4d,93.767,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603922,3,89.319,3a,89.871,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603923,3,89.319,3a,89.871,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603924,3,91.529,3a,91.713,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603925,3,90.424,3a,90.424,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603926,3,93.161,3a,92.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603927,3,95.028,3a,91.160,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603928,3,93.186,3a,91.713,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603929,3,93.370,3a,92.265,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603930,3,94.107,3a,92.081,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603931,3,92.081,3a,90.239,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603932,3,94.107,3a,94.475,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603933,3,92.989,3a,92.620,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603934,3,91.160,3a,90.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603935,3,92.634,3a,91.344,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603936,3,92.265,3a,92.081,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603937,3,93.002,3a,90.976,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603938,3,92.818,3a,92.081,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603939,3,94.843,3a,91.529,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON603940,3,90.792,3a,90.424,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628574,3,94.400,3a,92.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628575,3,93.344,3a,91.873,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628576,3,93.080,3a,91.768,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628577,3,93.978,3a,92.929,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628578,3,93.185,3a,91.552,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628579,3,93.714,3a,92.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628580,1,91.706,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628581,3,93.450,3a,92.190,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628582,3,93.872,3a,92.507,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628583,3,92.076,3a,90.765,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628584,3,93.819,3a,92.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628585,3,93.661,3a,92.507,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628586,3,94.136,3a,92.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628587,3,94.083,3a,92.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628588,3,93.502,3a,92.084,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628589,3,93.555,3a,92.190,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628590,3,93.872,3a,92.401,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628591,3,94.136,3a,92.770,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628592,1,94.136,1a,95.193,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628593,3,94.031,3a,92.239,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628594,3,93.397,3a,92.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628595,3,94.189,3a,92.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628596,3,93.978,3a,92.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN628597,3,93.767,3a,92.401,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650758,1,95.556,1a,95.556,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650759,1,95.185,1a,95.185,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650760,1,94.776,1a,94.590,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650761,1,93.097,1a,93.843,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650762,1,95.000,1a,95.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650763,1,94.074,1a,93.704,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650764,1,95.185,1a,94.815,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650765,1,95.000,1a,95.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650766,1,92.537,1a,93.470,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650767,1,92.579,1a,94.444,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650768,1,94.444,1a,94.444,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650769,1,94.815,1a,94.815,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650770,1,94.815,1a,94.815,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650771,1,91.280,1a,91.111,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650772,1,93.321,1a,93.692,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650773,1,92.208,1a,93.519,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650774,1,91.651,1a,92.022,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650775,3,93.889,3a,92.963,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650776,3,95.185,3a,93.333,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650777,3,95.741,3a,94.074,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650778,3,93.889,3a,92.407,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650779,3,94.630,3a,92.778,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650780,3,93.889,3a,92.778,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650781,3,95.185,3a,92.593,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650782,3,93.889,3a,91.667,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650783,3,94.815,3a,93.519,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650784,3,95.185,3a,94.259,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650785,3,93.519,3a,91.481,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650786,3,93.889,3a,92.037,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650787,3,94.259,3a,93.148,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650788,3,99.074,3a,92.778,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650789,3,100.000,3a,93.084,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650790,3,93.704,3a,90.370,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650791,3,94.259,3a,90.185,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650792,3,91.682,3a,90.203,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650793,3,91.667,3a,88.519,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650794,3,92.407,3a,91.296,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650795,3,93.704,3a,90.741,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650796,3,93.704,3a,92.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650797,3,90.000,3a,89.444,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650798,3,89.630,3a,91.215,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650799,4,77.365,4d,91.481,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650800,4,78.664,4d,90.926,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650801,4,79.035,4d,93.148,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650802,4,78.479,4d,92.407,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650803,4,78.850,4d,91.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650804,4,79.035,4d,92.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650805,4,77.737,4d,92.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650806,4,78.293,4d,90.556,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650807,1,80.961,1a,80.961,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650808,1,96.667,1a,96.481,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650809,1,93.889,1a,93.519,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650810,1,91.296,1a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650811,1,94.085,1a,93.900,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650812,1,95.000,1a,95.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650813,1,92.208,1a,93.148,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650814,3,91.111,3a,88.889,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650815,4,79.221,4d,92.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650816,4,78.850,4d,91.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650817,4,78.108,4d,91.296,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650818,4,79.592,4d,91.481,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MN650819,3,95.000,3a,93.333,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660823,1,94.189,1a,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660824,1,93.978,1a,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660825,1,94.242,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660826,1,94.083,1a,94.506,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660827,1,94.031,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660828,1,93.767,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660829,1,93.978,1a,94.031,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660830,4,90.645,4a,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660831,1,93.658,1a,93.658,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660832,1,94.083,1a,93.978,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660833,1,93.661,1a,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660834,1,93.555,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660835,1,90.227,1a,90.280,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660836,1,93.661,1a,93.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660837,4,91.068,4a,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660838,1,93.397,1a,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660839,4,91.279,4a,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660840,4,90.698,4a,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660841,1,94.136,1a,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660842,1,93.872,1a,94.031,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660843,1,93.397,1a,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660844,1,93.397,1a,93.344,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660845,1,93.502,1a,93.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660846,1,93.502,1a,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660847,4,91.173,4a,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660848,4,90.962,4a,90.962,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660849,1,91.020,1a,91.601,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660850,1,93.661,1a,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660851,1,93.819,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660852,4,90.381,4a,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660853,1,92.604,1a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660854,1,93.450,1a,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660855,1,92.235,1a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660856,4,91.279,4a,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660857,4,90.063,4a,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660858,1,93.661,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ660859,4,90.592,4a,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
